year,title,first_author,venue,cited_by,subtype,doi
2026,Large language models in drug delivery: A review of the current landscape and future perspectives,Sakkal M.,Journal of Pharmaceutical Sciences,0,re,10.1016/j.xphs.2025.104147
2026,Introducing AutoML framework for drug–drug interaction prediction: application of AutoGluon,Abou Hajal A.,Toxicology Mechanisms and Methods,0,ar,10.1080/15376516.2026.2628929
2026,An introduction to GitHub and its significance for AI-driven drug discovery,Abou Hajal A.,Expert Opinion on Drug Discovery,0,ar,10.1080/17460441.2026.2641511
2025,Machine learning predictions of tumor progression: How reliable are we?,Sakkal M.,Computers in Biology and Medicine,3,re,10.1016/j.compbiomed.2025.110156
2025,"Language models for drug–drug interactions: current applications, pitfalls, and future directions",Al Meslamani A.Z.,Expert Opinion on Drug Metabolism and Toxicology,3,re,10.1080/17425255.2025.2551724
2024,Boosting the Accuracy and Chemical Space Coverage of the Detection of Small Colloidal Aggregating Molecules Using the BAD Molecule Filter,Abou Hajal A.,Journal of Chemical Information and Modeling,4,ar,10.1021/acs.jcim.4c00363
2024,Insights into artificial intelligence utilisation in drug discovery,Abou Hajal A.,Journal of Medical Economics,15,ed,10.1080/13696998.2024.2315864
2024,Overcoming barriers to machine learning applications in toxicity prediction,Abou Hajal A.,Expert Opinion on Drug Metabolism and Toxicology,10,ed,10.1080/17425255.2023.2294939
2023,Exploring the pharmacy students’ perspectives on off-campus online learning experiences amid COVID-19 crises: A cross-sectional survey,Elnour A.A.,Saudi Pharmaceutical Journal,7,ar,10.1016/j.jsps.2023.05.024
2023,Are we ready yet for digital transformation? Virtual versus on-campus OSCE as assessment tools in pharmacy education. A randomized controlled head-to-head comparative assessment,Kharaba Z.,Saudi Pharmaceutical Journal,4,ar,10.1016/j.jsps.2023.01.004
2023,A cross-sectional survey on the experience of people with allergic rhinitis amidst COVID-19 pandemic: The impact of the facemask: A pilot study,Al Mazrouei N.,Pharmacy Practice,1,ar,10.18549/PharmPract.2023.3.2850
2022,"Protocol for systematic review and meta-analysis of randomized controlled trials, cost-benefit analysis and interrupted time-series interventions on pharmacist’s prescribing",Elnour A.A.,Pharmacy Practice,5,ar,10.18549/PharmPract.2022.3.2713
2022,Chemical Composition of the Volatile Oil from Aerial Parts of Rosmarinus officinalis L. Growing in UAE,Hudaib M.M.,Journal of Essential Oil Bearing Plants,6,ar,10.1080/0972060X.2022.2072177
